File Name,File Id,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Defected?(false/true) 
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\algorithm\ComparisonStrategy.java,1,0,0.0,1.0,0,0,0.0,0,0,11,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\algorithm\HashingTokenizer.java,3,25,1.33,0.79,10,8,0.0,6,20,0,35,49,21,17,14.29,84,0.07,1.57,0.09,0.11,0.8,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\algorithm\SoftwareMetrics.java,12,13,0.0,1.0,0,0,4.15,0,13,54,18,18,14,4,2.56,36,0.39,1.25,0.07,0.49,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\algorithm\Token.java,19,36,2.5,0.94,2,5,2.53,2,34,91,36,41,14,9,11.11,77,0.09,1.33,0.07,0.12,0.94,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\algorithm\TokenCluster.java,31,15,3.0,0.79,2,6,0.0,2,12,0,9,15,8,8,4.55,24,0.22,1.18,0.07,0.26,0.8,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\algorithm\TokenClusterOccurrenceTable.java,37,11,0.0,1.0,0,0,0.0,0,11,0,3,2,3,1,0.5,5,2.0,0.6,0.03,1.2,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\algorithm\TokenHashingStrategy.java,40,4,0.0,1.0,0,0,6.75,0,4,27,5,9,4,5,3.12,14,0.32,0.97,0.05,0.31,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\algorithm\TokenTest.java,44,2,0.0,1.0,0,0,3.5,0,2,7,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\gui\CorrelationMatrixMenu\CorrelationMatrixMenuModel.java,48,6,0.0,1.0,0,0,3.67,0,6,22,3,3,2,3,2.27,6,0.44,0.7,0.04,0.31,1.0,false
C:\Users\ACER\LopezMOSS\LopezMOSS\src\moss\gui\CorrelationMatrixMenu\CorrelationMatrixMenuPresenter.java,52,5,0.0,1.0,0,0,0.0,0,5,0,3,3,3,2,1.0,6,1.0,0.7,0.04,0.7,1.0,false
